"product_name","source","id","Reviewer","Rating","Title","Date","Body","Number","image_urls"
"product1","all review","33","Brendan","2.0 out of 5 stars","Can't stop it from blasting music when I put them in","Reviewed in the United States on March 15, 2024","They work fine as headphones for music and calls although sometimes the controls can be accidentally activated by touching the headphones as you put them in.The big problem is that if I put them on without audio already playing on my phone, the headphones blast the first song in my Apple Music at full volume.  After two weeks, I can't figure out how to stop it, so I'm just going to have to get a different pair of earbuds.","2",""
"product1","all review","34","Juanito","2.0 out of 5 stars","Sound ok. Battery time not so good.","Reviewed in the United States on January 27, 2024","I always check the items that have most purchases and then by their score. I saw this item had both, so I went for it. I am a big music fan and listener and that's the main reason why I got this earbuds.. the sound quality it's ok, not great as I expected, I want my ears to rattle when I listen to a good bass song... Maybe I am being picky but these buds didn't meet my expectations.Battery time is also not so good. Only lasts for half a day when other earbuds out there lasts way more... Not a big fan, will not keep them long.Luckily for me I got other earbuds that are slightly better than this ones.","2","61QO+zw8PiL._SY88.jpg"
"product1","all review","35","Joonuper","2.0 out of 5 stars","Awful","Reviewed in the United States on September 2, 2023","I got these because the waterproof level indicated for them in the listing means they should be able to be used in the shower. About 2 weeks after I began wearing them the right earbud stopped taking a charge, and then stopped working altogether. The left earbud still works but 1) the sound quality is TERRIBLE - there is far too much bass in these. I guess that would be appealing for some types of music but I use them for podcasts and it made it so I couldn't understand so much of what was said. And 2) sometimes it starts turning up the volume for no reason and I can't get it to stop. Fun fact: when it reaches the maximum volume on your device, it starts screaming ""MAXIMUM VOLUME"" into your ear, at maximum volume, over and over and over as if that's any better than just listening to your music or podcast at maximum volume. And it doesn't stop until you turn your volume down, and in my case the earbud would continue to force the volume back up again on its own. I'd have to (in the middle of my shower) disconnect the earbud and reconnect it again in order to make it stop. My guess is that the 2nd earbud will stop working within the next month.","2",""
"product1","all review","36","Angii Hansen","2.0 out of 5 stars","Won't keep a charge","Reviewed in the United States on March 14, 2024","I bought one of these a couple of years ago and absolutely loved it and still use it all the time. This last one I bought will not keep a charge. I took it on vacation and couldn't get the ear pieces to charge. I plugged it in multiple times and it says it's charged at 100%, but I put the earbuds in and they keep saying low battery. 😒","2",""
"product1","all review","37","Sandor H","2.0 out of 5 stars","Broke pretty quickly","Reviewed in the United States on February 19, 2024","Loved these little things when I first got them. Decent sound, cool little charging case. Carried a charge for a decent amount of time.About 3 or 4 months in the right earbud stopped charging. It's dead and there appears to be no way to fix it. Now I only had one working bud, man. Not terrible for calls or podcasts but I paid for two, damn it.","2",""
"product1","all review","38","William D Medley","2.0 out of 5 stars","Good sound, bad microphone","Reviewed in the United States on March 8, 2024","Nice little head phones, ear buds, but the microphone seems to be spotty.  Good for listening to music, sound is find, but when use them with phone or computer phone, people on the other end say the mic is cutting in and out, even though sound is still good.  So not sure about using them for two way conversations.","2",""
"product1","all review","39","qiliansnow","2.0 out of 5 stars","Great for listening , but not for phone call","Reviewed in the United States on March 3, 2024","With more and more complaining about poor voice heard from the other side when having a phone call, while the voice is perfect heard on the other side when switching to my iPhone speaker mode, I just realized it should be the problem of this BT earbuds. I wish I happen to get a faulty one.","2",""
"product1","all review","40","Tatiana L.","5.0 out of 5 stars","A very good set of earbuds for a fair price","Reviewed in the United States on March 15, 2024","I have Samsung and AirPods Pro that I use every day. I needed one more set of earbuds, less expensive, to carry with me. I must say that I am impressed with the quality of this product. I had no issues with paring, charging, or using it. I do not know how long exactly the charge lasts, but I take 2-hr walks and use these earbuds for at least this long without needing to recharge them. I am pleased with my purchase and would recommend this product to others. Sometimes, fortunately, you do not need to pay top dollar to get a good quality gadget.","5",""
"product1","all review","41","Rick R","5.0 out of 5 stars","Tagry X08’s.  👍","Reviewed in the United States on March 6, 2024","Just got these today.  They paired quickly to my iPhone 12 and my laptop.  Immediately queued up some nirvana.  For 34 bucks I was amazed how good they sounded.  I then went to my laptop to see how they were on a Dan Bongino Rumble podcast.  Once again, the speech was crisp.  The lifetime warranty took about 5 seconds to complete.  My only issue is the controlling of functions by tapping a specific spot on the ear buds.  This seemed clunky but it’s probably due to the fact I’ve never used wireless earbuds.  They were comfortable and the sound really impressed me.  Not sure how you can go wrong with these considering the lifetime warranty.","5",""
"product1","all review","42","Robin L.","5.0 out of 5 stars","Great Bang for the Price!","Reviewed in the United States on March 14, 2024","I have two sets of apple pods; one is missing, and the other will no longer pair with anything! I did not want to spend the $$ on another one right now, but I needed something that would pair with my desktop and have a great sound. I bought these and am VERY satisfied with the quality. I like that you can see a digital readout for the life left in the case. However, the one drawback is that the case has no weight. I would be afraid to drop it instead of my Apple earbud cases.","5",""
"product1","all review","43","Deb","5.0 out of 5 stars","They are great including the mic","Reviewed in the United States on March 17, 2024","I have been really impressed with the quality of these earbuds and even more impressed with the mic. This was the feature that I was most concerned with for hands free calling and they have worked really great. I’ve used them for video conferencing and the sound quality is excellent, both incoming and outgoing. I’m tempted to buy another set just in case these ever go out. I’ve never used AirPods so I can’t give an accurate comparison but for this price point and quality I would definitely recommend these.","5",""
"product1","all review","44","Amazon Customer","5.0 out of 5 stars","Great value for the price","Reviewed in the United States on March 11, 2024","These replaced my very old Totu ones and I am very happy with them. They automatically connect to my phone as soon as I take them out of the case.  The quality of sound on phone calls (all I currently use them for) is good.  I usually use both but they work with just one if you need to hear surroundings. Since I leave them plugged in when not in use, I can't comment on battery life.","5",""
"product1","all review","45","Holly","5.0 out of 5 stars","Suprisingly Great Quality For Price","Reviewed in the United States on February 6, 2024","I got these wireless earbuds for my boyfriend as a Christmas present and he LOVES them. He had AirPods for a little while and he says he likes these BETTER than his previous AirPods because he likes that he can see the battery percentage on the case, they stay charged for such a long time, and they charge very quickly. The only flaw might be that sometimes it’s hard to hear him when I’m calling him, but that could be other contributing factors (like he has an old iPhone 6, uses them while riding a motorcycle, or bad service, he mumbles sometimes) and not necessarily the devices fault but otherwise I can here him perfectly. These are surprisingly great quality for the price. I would recommend getting the warranty just in case though, because they are cheaper than competitors but otherwise it’s a great product. They’re not noise canceling but I don’t think they’re advertised to be noise canceling. Overall they work exactly as advertised.","5",""
"product1","all review","46","Tiziano Mammana","5.0 out of 5 stars","They work flawlessly and for the price are unbeatable !","Reviewed in the United States on February 28, 2024","I got these earbuds last year using them on my samsung S9 first and then on my Iphone 14 pro later and they worked flawlessly for 10 months and then one day the phone begun to not recognize the bluethooth on them even doing different reset on the earbuds and on the phone so I email the company and they quickly replied suggesting me some trouble shoot to fix the problem but nothing worked out so they sent me a new pair in a few days without any problems and the new pair is working better than the previous one. Really professional company with a really affordable price! 100% recommended!","5",""
"product1","all review","47","Amazon Junkie","5.0 out of 5 stars","Survived the washing machine","Reviewed in the United States on March 15, 2024","I left the case in pockets of my pants and had the ear buds on my dresser. Without realizing, I threw the pants into the wash and I was still able to use the earbuds! When I went to empty the laundry, I found the case at the bottom of the washer to my surprise! 😁 Needless to say, I ordered a second pair of these the same day","5",""
"product1","all review","48","Amir mehrabi","5.0 out of 5 stars","Great quality for the price!","Reviewed in the United States on March 13, 2024","I wasn’t expecting these to be as good of quality for the price, but based on the good reviews I decided to try them, and really love them! They stay charged for a long time.  They are comfortable and have good sound.  Bought additional pairs for our kids; not going to spend a lot since they can lose them easily.  I recommend these!","5",""
"product1","all review","49","Sharla Alford","5.0 out of 5 stars","Great Product and Great Customer Service","Reviewed in the United States on February 28, 2024","This is a great product with great customer service!  They reached out to me immediately after I left them a voicemail.  They texted me information so they could send me a charger because I did not think I received the charger.  It turns out it was in a small black area that I hadn't looked.  I texted them back that I had found it, and she even followed up with a call to make sure I had everything I needed and if I had any other questions.  I will definitely use them again!!","5",""
"product1","all review","50","francis c. giarrusso","1.0 out of 5 stars","THIS IS CHINESE CRAP THAT THEY SELL TO ALL  OUTLETS AND THEN DENY WARRANTY .","Reviewed in the United States on September 19, 2023","I owned a pair of these chinese junk  purchased from amazon for about 2 months.  filled out the warranty info as required,  nothing was said or stated about any third party at any time.  at first, I could not get the phone switch to work, but I thought it was just my fingers, then about 2 weeks ago they just stopped working altogether  I contacted the manufacturer and gave them my info , and was told that a new set would be provided.  Since then I have lrecieved multiple calls asking for additional info, which was given.  Today I was told from customer service in Hong Kong, that because I had purchased the set from a third party, unknown by me, the warranty would not be honored.  there was no mention of a third party when I registered the item on the warranty forms, nor was that indicated during the warranty registration. THEY SUCK, TGR-Tech SUCKS, Amazon SUCKS, and CHINA SUCKS !!!","1",""
"product1","all review","51","ShannyW","1.0 out of 5 stars","Junk!!!!!!!","Reviewed in the United States on March 13, 2024","The first one I ordered lasted about 6 months until one of the earbuds quit working. I ordered a second time & the whole charger quit working after 1 month...then thinking it was just a fluke, I ordered another one & it's also completely dead after 1 month. Too many other brands to choose from. Won't make this mistake again....","1",""
